,m,x,r,d,v,ns,n,zg,t,l,c,uj,ul,p,nz,f,a,nr,eng,nrt,vn,s,u,b,y,df,i,ad,nt,an,vq,ug,j,h,uz,g,q,ud,z,rr,ng,vg,uv,k,mq,o,ag,yg,e,nrfg,rz,vd,vi,tg,dg
m,"(565, 14038)","(685, 30230)","(851, 17697)","(279, 13132)","(1776, 42175)","(270, 13006)","(762, 40020)","(12, 795)","(49, 1894)","(17, 3134)","(145, 7805)","(211, 10574)","(203, 1329)","(571, 8822)","(23, 2422)","(79, 2458)","(95, 7169)","(46, 3570)","(11, 1585)","(6, 296)","(28, 1549)","(20, 849)","(12, 373)","(8, 796)","(1, 455)","(1, 90)","(4, 747)","(4, 610)","(5, 329)",,"(3, 32)","(65, 329)","(6, 564)",,"(8, 149)",,"(7, 485)","(213, 395)","(4, 144)","(3, 10)","(2, 196)","(4, 58)","(1, 54)","(3, 103)",,,,,"(1, 27)",,"(1, 19)",,"(1, 1)","(1, 4)",
x,"(8383, 14038)","(1719, 30230)","(358, 17697)","(211, 13132)","(3738, 42175)","(1049, 13006)","(5716, 40020)","(141, 795)","(92, 1894)","(863, 3134)","(422, 7805)","(810, 10574)","(481, 1329)","(70, 8822)","(620, 2422)","(385, 2458)","(1491, 7169)","(596, 3570)","(1092, 1585)","(32, 296)","(225, 1549)","(52, 849)","(120, 373)","(263, 796)","(392, 455)","(4, 90)","(407, 747)","(34, 610)","(19, 329)","(14, 65)","(5, 32)","(53, 329)","(43, 564)",,"(18, 149)","(3, 80)","(36, 485)","(2, 395)","(28, 144)",,"(31, 196)","(13, 58)","(3, 54)","(12, 103)","(1, 56)","(19, 37)","(1, 15)",,"(17, 27)","(1, 7)",,"(1, 9)",,,
r,"(82, 14038)","(6786, 30230)","(537, 17697)","(377, 13132)","(4571, 42175)","(160, 13006)","(1338, 40020)","(9, 795)","(48, 1894)","(112, 3134)","(641, 7805)","(159, 10574)","(77, 1329)","(792, 8822)","(27, 2422)","(141, 2458)","(60, 7169)","(242, 3570)","(65, 1585)","(6, 296)","(42, 1549)","(22, 849)","(23, 373)","(9, 796)","(5, 455)","(3, 90)","(17, 747)","(6, 610)","(7, 329)","(4, 65)","(2, 32)","(28, 329)","(7, 564)",,"(13, 149)","(1, 80)","(35, 485)","(5, 395)","(3, 144)",,"(4, 196)","(2, 58)","(1, 54)","(5, 103)","(2, 56)","(1, 37)",,,"(2, 27)",,,,,,
d,"(207, 14038)","(1832, 30230)","(1387, 17697)","(1531, 13132)","(1286, 42175)","(259, 13006)","(3603, 40020)","(26, 795)","(138, 1894)","(135, 3134)","(584, 7805)","(214, 10574)","(51, 1329)","(62, 8822)","(81, 2422)","(147, 2458)","(303, 7169)","(274, 3570)","(30, 1585)","(14, 296)","(73, 1549)","(61, 849)","(26, 373)","(17, 796)","(8, 455)","(8, 90)","(24, 747)","(35, 610)","(5, 329)","(2, 65)",,"(9, 329)","(9, 564)","(1, 23)","(4, 149)","(1, 80)","(25, 485)","(45, 395)","(3, 144)","(5, 10)","(21, 196)","(5, 58)","(1, 54)","(19, 103)","(1, 56)","(2, 37)","(1, 15)",,,"(2, 7)",,"(1, 9)",,"(1, 4)",
v,"(780, 14038)","(4514, 30230)","(6050, 17697)","(6008, 13132)","(7417, 42175)","(1343, 13006)","(8149, 40020)","(207, 795)","(242, 1894)","(175, 3134)","(1489, 7805)","(1339, 10574)","(65, 1329)","(1398, 8822)","(275, 2422)","(416, 2458)","(1085, 7169)","(744, 3570)","(91, 1585)","(93, 296)","(218, 1549)","(132, 849)","(38, 373)","(84, 796)","(9, 455)","(36, 90)","(43, 747)","(346, 610)","(30, 329)","(9, 65)",,"(18, 329)","(38, 564)","(2, 23)","(22, 149)","(66, 80)","(48, 485)","(52, 395)","(26, 144)",,"(27, 196)","(2, 58)","(39, 54)","(23, 103)","(6, 56)","(3, 37)","(1, 15)","(4, 8)","(2, 27)","(1, 7)","(4, 19)","(3, 9)",,,
ns,"(441, 14038)","(2322, 30230)","(446, 17697)","(131, 13132)","(4023, 42175)","(139, 13006)","(244, 40020)","(67, 795)","(489, 1894)","(14, 3134)","(830, 7805)","(352, 10574)","(54, 1329)","(2228, 8822)","(16, 2422)","(76, 2458)","(280, 7169)","(45, 3570)","(11, 1585)","(8, 296)","(18, 1549)","(6, 849)","(8, 373)","(11, 796)",,,"(4, 747)","(1, 610)","(3, 329)",,"(21, 32)","(17, 329)","(25, 564)","(3, 23)","(4, 149)",,"(25, 485)",,"(1, 144)",,"(2, 196)","(2, 58)","(1, 54)",,"(2, 56)","(1, 37)",,,,,"(2, 19)",,,,
n,"(2282, 14038)","(3864, 30230)","(3863, 17697)","(841, 13132)","(7338, 42175)","(7497, 13006)","(5032, 40020)","(49, 795)","(205, 1894)","(320, 3134)","(1341, 7805)","(5052, 10574)","(139, 1329)","(2165, 8822)","(477, 2422)","(365, 2458)","(901, 7169)","(383, 3570)","(73, 1585)","(28, 296)","(180, 1549)","(88, 849)","(62, 373)","(152, 796)","(5, 455)","(10, 90)","(32, 747)","(32, 610)","(218, 329)","(7, 65)",,"(46, 329)","(320, 564)","(10, 23)","(50, 149)","(2, 80)","(198, 485)","(17, 395)","(18, 144)",,"(17, 196)","(3, 58)","(1, 54)","(6, 103)","(34, 56)","(3, 37)","(3, 15)","(2, 8)","(2, 27)","(1, 7)","(10, 19)","(2, 9)",,,
zg,"(14, 14038)","(56, 30230)","(19, 17697)","(47, 13132)","(234, 42175)","(15, 13006)","(261, 40020)",,"(6, 1894)","(76, 3134)","(45, 7805)",,,"(1, 8822)","(7, 2422)","(2, 2458)","(39, 7169)","(13, 3570)",,"(2, 296)","(11, 1549)",,,"(3, 796)","(1, 455)",,"(3, 747)","(4, 610)",,"(1, 65)",,,,,,,,,"(2, 144)",,,,,,,,,,,,,,,,
t,"(64, 14038)","(674, 30230)","(125, 17697)","(40, 13132)","(200, 42175)","(51, 13006)","(121, 40020)","(1, 795)","(18, 1894)","(7, 3134)","(104, 7805)","(28, 10574)","(20, 1329)","(228, 8822)","(8, 2422)","(5, 2458)","(13, 7169)","(17, 3570)","(3, 1585)","(2, 296)","(6, 1549)","(4, 849)","(1, 373)","(2, 796)",,"(1, 90)","(3, 747)","(2, 610)","(1, 329)",,,"(2, 329)",,,"(3, 149)",,"(2, 485)","(1, 395)",,,,,,,,,,,,,,"(1, 9)",,,
l,"(32, 14038)","(218, 30230)","(282, 17697)","(145, 13132)","(924, 42175)","(247, 13006)","(612, 40020)","(11, 795)","(182, 1894)","(6, 3134)","(83, 7805)","(658, 10574)","(19, 1329)","(72, 8822)","(12, 2422)","(25, 2458)","(19, 7169)","(8, 3570)","(4, 1585)","(1, 296)","(6, 1549)","(3, 849)","(2, 373)","(7, 796)",,"(3, 90)","(4, 747)","(3, 610)","(1, 329)",,,"(6, 329)","(2, 564)",,"(6, 149)",,"(6, 485)","(8, 395)",,"(1, 10)",,,,"(2, 103)",,,,,,,,,,,
